PM10,SO2,CO,O3,NO2,Max,Pollution_Average,Month,Weekday,Quarter,Category_Good,Category_Moderate,Category_Unhealthy
30,2,69,19,0,69,24.0,1,2,1,0,1,0
16,2,58,33,0,58,21.8,1,3,1,0,1,0
12,2,46,18,0,46,15.6,1,4,1,1,0,0
8,2,84,29,0,84,24.6,1,5,1,0,1,0
8,3,50,0,0,50,12.2,1,6,1,1,0,0
12,2,97,18,0,97,25.8,1,0,1,0,1,0
10,3,70,0,0,70,16.6,1,1,1,0,1,0
11,4,87,0,0,87,20.4,1,2,1,0,1,0
10,4,118,5,0,118,27.4,1,3,1,0,0,1
10,3,73,30,0,73,23.2,1,4,1,0,1,0
7,2,43,16,0,43,13.6,1,5,1,1,0,0
6,2,48,9,0,48,13.0,1,6,1,1,0,0
11,2,29,8,0,29,10.0,1,0,1,1,0,0
16,2,44,0,0,44,12.4,1,1,1,1,0,0
17,2,55,25,0,55,19.8,1,2,1,0,1,0
13,2,45,0,0,45,12.0,1,3,1,1,0,0
13,2,61,0,0,61,15.2,1,4,1,0,1,0
19,3,57,0,0,57,15.8,1,5,1,0,1,0
16,2,43,0,0,43,12.2,1,6,1,1,0,0
14,2,34,0,0,34,10.0,1,0,1,1,0,0
21,2,48,11,0,48,16.4,1,1,1,1,0,0
33,2,52,8,0,52,19.0,1,2,1,0,1,0
22,2,90,14,0,90,25.6,1,3,1,0,1,0
35,2,139,27,0,139,40.6,1,4,1,0,0,1
32,2,60,25,0,60,23.8,1,5,1,0,1,0
19,2,32,27,0,32,16.0,1,6,1,1,0,0
29,2,47,20,0,47,19.6,1,0,1,1,0,0
28,2,107,27,0,107,32.8,1,1,1,0,0,1
25,2,68,30,0,68,25.0,1,2,1,0,1,0
23,2,60,47,0,60,26.4,1,3,1,0,1,0
17,1,33,24,0,33,15.0,1,4,1,1,0,0
29,2,37,15,0,37,16.6,2,5,1,1,0,0
32,2,58,26,0,58,23.6,2,6,1,0,1,0
27,2,59,17,0,59,21.0,2,0,1,0,1,0
17,2,54,15,0,54,17.6,2,1,1,0,1,0
12,2,74,9,0,74,19.4,2,2,1,0,1,0
22,3,60,20,0,60,21.0,2,3,1,0,1,0
19,2,51,10,0,51,16.4,2,4,1,0,1,0
27,1,44,52,0,52,24.8,2,5,1,0,1,0
26,3,164,36,0,164,45.8,2,6,1,0,0,1
11,2,46,14,0,46,14.6,2,0,1,1,0,0
10,3,58,18,0,58,17.8,2,1,1,0,1,0
19,3,48,17,0,48,17.4,2,2,1,1,0,0
33,3,58,17,0,58,22.2,2,3,1,0,1,0
36,2,78,26,0,78,28.4,2,4,1,0,1,0
22,2,81,30,0,81,27.0,2,5,1,0,1,0
20,2,95,23,0,95,28.0,2,6,1,0,1,0
11,3,39,11,0,39,12.8,2,0,1,1,0,0
13,2,58,0,0,58,14.6,2,1,1,0,1,0
17,2,40,14,0,40,14.6,2,2,1,1,0,0
7,2,39,14,0,39,12.4,2,3,1,1,0,0
20,3,72,12,0,72,21.4,2,4,1,0,1,0
18,2,73,47,0,73,28.0,2,5,1,0,1,0
26,2,84,21,0,84,26.6,2,6,1,0,1,0
45,2,37,10,0,45,18.8,2,0,1,1,0,0
29,2,60,31,0,60,24.4,2,1,1,0,1,0
15,2,16,0,0,16,6.6,2,2,1,1,0,0
22,2,19,0,0,22,8.6,2,3,1,1,0,0
20,2,18,0,0,20,8.0,2,4,1,1,0,0
25,2,12,0,0,25,7.8,2,5,1,1,0,0
19,2,37,0,0,37,11.6,3,6,1,1,0,0
23,2,9,0,0,23,6.8,3,0,1,1,0,0
28,3,63,0,0,63,18.8,3,1,1,0,1,0
